2025-11-24 10:36:10 | INFO | ShippingBillingPage | Clicking Add Shipping button
2025-11-24 10:36:10 | INFO | ShippingBillingPage | Clicking element (xpath, //button[@data-testid='add-shipping']) - Attempt 1
2025-11-24 17:13:08 | INFO | ShippingBillingPage | Clicking Add Shipping button
2025-11-24 17:13:08 | INFO | ShippingBillingPage | Clicking element (xpath, //button[@data-testid='add-shipping']) - Attempt 1
2025-12-01 10:27:01 | INFO | ShippingBillingPage | Clicking Add Shipping button
2025-12-01 10:27:01 | INFO | ShippingBillingPage | Clicking element (xpath, //button[@data-testid='add-shipping']) - Attempt 1
2025-12-01 18:41:28 | INFO | ShippingBillingPage | Clicking Add Shipping button
2025-12-01 18:41:28 | INFO | ShippingBillingPage | Clicking element (xpath, //button[@data-testid='add-shipping']) - Attempt 1
2025-12-02 11:29:42 | INFO | ShippingBillingPage | Clicking Add Shipping button
2025-12-02 11:29:42 | INFO | ShippingBillingPage | Clicking element (xpath, //button[@data-testid='add-shipping']) - Attempt 1
2025-12-02 06:42:31 | INFO | ShippingBillingPage | Clicking Add Shipping button
2025-12-02 06:42:31 | INFO | ShippingBillingPage | Clicking element (xpath, //button[@data-testid='add-shipping']) - Attempt 1
2025-12-02 07:06:52 | INFO | ShippingBillingPage | Clicking Add Shipping button
2025-12-02 07:06:52 | INFO | ShippingBillingPage | Clicking element (xpath, //button[@data-testid='add-shipping']) - Attempt 1
2025-12-02 07:38:35 | INFO | ShippingBillingPage | Clicking Add Shipping button
2025-12-02 07:38:35 | INFO | ShippingBillingPage | Clicking element (xpath, //button[@data-testid='add-shipping']) - Attempt 1
2025-12-02 14:46:43 | INFO | ShippingBillingPage | Clicking Add Shipping button
2025-12-02 14:46:43 | INFO | ShippingBillingPage | Clicking element (xpath, //button[@data-testid='add-shipping']) - Attempt 1
2025-12-02 15:50:01 | INFO | ShippingBillingPage | Clicking Add Shipping button
2025-12-02 15:50:01 | INFO | ShippingBillingPage | Clicking element (xpath, //button[@data-testid='add-shipping']) - Attempt 1
2025-12-02 17:28:08 | INFO | ShippingBillingPage | Clicking Add Shipping button
2025-12-02 17:28:08 | INFO | ShippingBillingPage | Clicking element (xpath, //button[@data-testid='add-shipping']) - Attempt 1
2025-12-03 07:20:06 | INFO | ShippingBillingPage | Clicking Add Shipping button
2025-12-03 07:20:06 | INFO | ShippingBillingPage | Clicking element (xpath, //button[@data-testid='add-shipping']) - Attempt 1
2025-12-03 14:13:44 | INFO | ShippingBillingPage | Clicking Add Shipping button
2025-12-03 14:13:44 | INFO | ShippingBillingPage | Clicking element (xpath, //button[@data-testid='add-shipping']) - Attempt 1
2025-12-03 15:06:30 | INFO | ShippingBillingPage | Clicking Add Shipping button
2025-12-03 15:06:30 | INFO | ShippingBillingPage | Clicking element (xpath, //button[@data-testid='add-shipping']) - Attempt 1
2025-12-04 11:49:05 | INFO | ShippingBillingPage | Clicking Add Shipping button
2025-12-04 11:49:05 | INFO | ShippingBillingPage | Clicking element (xpath, //button[@data-testid='add-shipping']) - Attempt 1
2025-12-04 12:08:03 | INFO | ShippingBillingPage | Clicking Add Shipping button
2025-12-04 12:08:03 | INFO | ShippingBillingPage | Clicking element (xpath, //button[@data-testid='add-shipping']) - Attempt 1
2025-12-04 12:19:37 | INFO | ShippingBillingPage | Clicking Add Shipping button
2025-12-04 12:19:37 | INFO | ShippingBillingPage | Clicking element (xpath, //button[@data-testid='add-shipping']) - Attempt 1
2025-12-08 10:23:43 | INFO | ShippingBillingPage | Clicking Add Shipping button
2025-12-08 10:23:43 | INFO | ShippingBillingPage | Clicking element (xpath, //button[@data-testid='add-shipping']) - Attempt 1
