2025-11-17 09:30:34 | INFO | pages.base_page | Entering text student on element: (id, username)
2025-11-17 09:36:34 | INFO | pages.base_page | Entering text student on element: (id, username)
2025-11-17 09:37:36 | INFO | pages.base_page | Entering text student on element: (id, username)
2025-11-17 09:39:07 | INFO | pages.base_page | Entering text student on element: (id, username)
2025-11-17 09:39:07 | INFO | pages.base_page | Entering text Password123 on element: (id, password)
2025-11-17 09:39:07 | INFO | pages.base_page | Clicking on element: (xpath, //button[@id='submit'])
2025-11-17 10:07:57 | INFO | pages.base_page | Entering text student on element: (id, username)
2025-11-17 11:01:56 | INFO | pages.base_page | Entering text student on element: (id, username)
2025-11-17 11:01:56 | INFO | pages.base_page | Entering text Password123 on element: (id, password)
2025-11-17 11:01:56 | INFO | pages.base_page | Clicking on element: (xpath, //button[@id='submit'])
2025-11-17 11:33:40 | INFO | pages.base_page | Entering text student on element: (id, username)
2025-11-17 11:33:40 | INFO | pages.base_page | Entering text Password123 on element: (id, password)
2025-11-17 11:33:40 | INFO | pages.base_page | Clicking on element: (xpath, //button[@id='submit'])
